dx = 0.0, dy = 0.0,  s_cnt = 1, l_cnt = 0, r_cnt = 0, direction = straight
dx = 0.0, dy = 0.0,  s_cnt = 2, l_cnt = 0, r_cnt = 0, direction = straight
dx = 0.0, dy = 0.0,  s_cnt = 3, l_cnt = 0, r_cnt = 0, direction = straight
dx = 0.0, dy = 0.0,  s_cnt = 4, l_cnt = 0, r_cnt = 0, direction = straight
dx = 0.0, dy = 0.0,  s_cnt = 5, l_cnt = 0, r_cnt = 0, direction = straight
dx = 0.0, dy = 0.0,  s_cnt = 6, l_cnt = 0, r_cnt = 0, direction = straight
dx = 0.0, dy = 0.0,  s_cnt = 7, l_cnt = 0, r_cnt = 0, direction = straight
dx = 0.0, dy = 0.0,  s_cnt = 8, l_cnt = 0, r_cnt = 0, direction = straight
dx = 0.0, dy = 0.0,  s_cnt = 9, l_cnt = 0, r_cnt = 0, direction = straight
dx = 0.0, dy = 0.0,  s_cnt = 10, l_cnt = 0, r_cnt = 0, direction = straight
dx = 0.0, dy = 0.0,  s_cnt = 11, l_cnt = 0, r_cnt = 0, direction = straight
dx = 0.0, dy = 0.0,  s_cnt = 12, l_cnt = 0, r_cnt = 0, direction = straight
dx = 0.0, dy = 0.0,  s_cnt = 13, l_cnt = 0, r_cnt = 0, direction = straight
dx = 0.0, dy = 0.0,  s_cnt = 14, l_cnt = 0, r_cnt = 0, direction = straight
dx = 0.0, dy = 0.0,  s_cnt = 15, l_cnt = 0, r_cnt = 0, direction = straight
dx = 0.0, dy = 0.0,  s_cnt = 16, l_cnt = 0, r_cnt = 0, direction = straight
dx = 0.0, dy = 0.0,  s_cnt = 17, l_cnt = 0, r_cnt = 0, direction = straight
dx = 0.0, dy = 0.0,  s_cnt = 18, l_cnt = 0, r_cnt = 0, direction = straight
dx = 0.0, dy = 0.0,  s_cnt = 19, l_cnt = 0, r_cnt = 0, direction = straight
dx = 0.0, dy = 0.0,  s_cnt = 20, l_cnt = 0, r_cnt = 0, direction = straight
dx = 0.0, dy = 0.0,  s_cnt = 21, l_cnt = 0, r_cnt = 0, direction = straight
dx = 0.0, dy = 0.0,  s_cnt = 22, l_cnt = 0, r_cnt = 0, direction = straight
dx = 0.0, dy = 0.0,  s_cnt = 23, l_cnt = 0, r_cnt = 0, direction = straight
dx = -15.640000000000043, dy = -8.28000000000003,  s_cnt = 24, l_cnt = 0, r_cnt = 0, direction = straight
dx = -15.640000000000043, dy = -8.28000000000003,  s_cnt = 25, l_cnt = 0, r_cnt = 0, direction = straight
dx = -15.640000000000043, dy = -8.28000000000003,  s_cnt = 26, l_cnt = 0, r_cnt = 0, direction = straight
dx = -15.640000000000043, dy = -8.28000000000003,  s_cnt = 27, l_cnt = 0, r_cnt = 0, direction = straight
dx = -15.640000000000043, dy = -8.28000000000003,  s_cnt = 28, l_cnt = 0, r_cnt = 0, direction = straight
dx = -15.640000000000043, dy = -8.28000000000003,  s_cnt = 29, l_cnt = 0, r_cnt = 0, direction = straight
dx = -15.640000000000043, dy = -8.28000000000003,  s_cnt = 30, l_cnt = 0, r_cnt = 0, direction = straight
dx = -15.640000000000043, dy = -8.28000000000003,  s_cnt = 31, l_cnt = 0, r_cnt = 0, direction = straight
dx = -21.160000000000025, dy = -15.640000000000043,  s_cnt = 32, l_cnt = 0, r_cnt = 0, direction = straight
dx = -21.160000000000025, dy = -15.640000000000043,  s_cnt = 33, l_cnt = 0, r_cnt = 0, direction = straight
dx = -21.160000000000025, dy = -15.640000000000043,  s_cnt = 34, l_cnt = 0, r_cnt = 0, direction = straight
dx = -21.160000000000025, dy = -15.640000000000043,  s_cnt = 35, l_cnt = 0, r_cnt = 0, direction = straight
dx = -21.160000000000025, dy = -15.640000000000043,  s_cnt = 36, l_cnt = 0, r_cnt = 0, direction = straight
dx = -21.160000000000025, dy = -15.640000000000043,  s_cnt = 37, l_cnt = 0, r_cnt = 0, direction = straight
dx = -21.160000000000025, dy = -15.640000000000043,  s_cnt = 38, l_cnt = 0, r_cnt = 0, direction = straight
dx = -21.160000000000025, dy = -15.640000000000043,  s_cnt = 39, l_cnt = 0, r_cnt = 0, direction = straight
dx = -21.160000000000025, dy = -15.640000000000043,  s_cnt = 40, l_cnt = 0, r_cnt = 0, direction = straight
dx = -19.319999999999993, dy = -14.720000000000027,  s_cnt = 41, l_cnt = 0, r_cnt = 0, direction = straight
dx = -19.319999999999993, dy = -14.720000000000027,  s_cnt = 42, l_cnt = 0, r_cnt = 0, direction = straight
dx = -19.319999999999993, dy = -14.720000000000027,  s_cnt = 43, l_cnt = 0, r_cnt = 0, direction = straight
dx = -19.319999999999993, dy = -14.720000000000027,  s_cnt = 44, l_cnt = 0, r_cnt = 0, direction = straight
dx = -19.319999999999993, dy = -14.720000000000027,  s_cnt = 45, l_cnt = 0, r_cnt = 0, direction = straight
dx = -19.319999999999993, dy = -14.720000000000027,  s_cnt = 46, l_cnt = 0, r_cnt = 0, direction = straight
dx = -19.319999999999993, dy = -14.720000000000027,  s_cnt = 47, l_cnt = 0, r_cnt = 0, direction = straight
dx = -19.319999999999993, dy = -14.720000000000027,  s_cnt = 48, l_cnt = 0, r_cnt = 0, direction = straight
dx = -19.319999999999993, dy = -14.720000000000027,  s_cnt = 49, l_cnt = 0, r_cnt = 0, direction = straight
dx = -19.319999999999993, dy = -14.720000000000027,  s_cnt = 50, l_cnt = 0, r_cnt = 0, direction = straight
dx = -8.965490196078008, dy = -7.48627450980382,  s_cnt = 51, l_cnt = 0, r_cnt = 0, direction = straight
dx = -8.965490196078008, dy = -7.48627450980382,  s_cnt = 1, l_cnt = 0, r_cnt = 0, direction = straight
dx = -8.965490196078008, dy = -7.48627450980382,  s_cnt = 2, l_cnt = 0, r_cnt = 0, direction = straight
dx = -8.965490196078008, dy = -7.48627450980382,  s_cnt = 3, l_cnt = 0, r_cnt = 0, direction = straight
dx = -8.965490196078008, dy = -7.48627450980382,  s_cnt = 4, l_cnt = 0, r_cnt = 0, direction = straight
dx = -8.965490196078008, dy = -7.48627450980382,  s_cnt = 5, l_cnt = 0, r_cnt = 0, direction = straight
dx = -8.965490196078008, dy = -7.48627450980382,  s_cnt = 6, l_cnt = 0, r_cnt = 0, direction = straight
dx = -8.965490196078008, dy = -7.48627450980382,  s_cnt = 7, l_cnt = 0, r_cnt = 0, direction = straight
dx = -8.965490196078008, dy = -7.48627450980382,  s_cnt = 8, l_cnt = 0, r_cnt = 0, direction = straight
dx = -8.965490196078008, dy = -7.48627450980382,  s_cnt = 9, l_cnt = 0, r_cnt = 0, direction = straight
dx = -8.965490196078008, dy = -7.48627450980382,  s_cnt = 10, l_cnt = 0, r_cnt = 0, direction = straight
dx = -8.965490196078008, dy = -7.48627450980382,  s_cnt = 11, l_cnt = 0, r_cnt = 0, direction = straight
dx = -8.965490196078008, dy = -7.48627450980382,  s_cnt = 12, l_cnt = 0, r_cnt = 0, direction = straight
dx = -8.965490196078008, dy = -7.48627450980382,  s_cnt = 13, l_cnt = 0, r_cnt = 0, direction = straight
dx = -8.965490196078008, dy = -7.48627450980382,  s_cnt = 14, l_cnt = 0, r_cnt = 0, direction = straight
dx = -8.965490196078008, dy = -7.48627450980382,  s_cnt = 15, l_cnt = 0, r_cnt = 0, direction = straight
dx = -8.965490196078008, dy = -7.48627450980382,  s_cnt = 16, l_cnt = 0, r_cnt = 0, direction = straight
dx = -8.965490196078008, dy = -7.48627450980382,  s_cnt = 17, l_cnt = 0, r_cnt = 0, direction = straight
dx = -8.965490196078008, dy = -7.48627450980382,  s_cnt = 18, l_cnt = 0, r_cnt = 0, direction = straight
dx = -8.965490196078008, dy = -7.48627450980382,  s_cnt = 19, l_cnt = 0, r_cnt = 0, direction = straight
dx = -8.965490196078008, dy = -7.48627450980382,  s_cnt = 20, l_cnt = 0, r_cnt = 0, direction = straight
dx = -8.965490196078008, dy = -7.48627450980382,  s_cnt = 21, l_cnt = 0, r_cnt = 0, direction = straight
