dx = -7.5584313725489665, dy = -6.439999999999998,  s_cnt = 22, l_cnt = 0, r_cnt = 0, direction = straight
dx = -7.5584313725489665, dy = -6.439999999999998,  s_cnt = 23, l_cnt = 0, r_cnt = 0, direction = straight
dx = -7.5584313725489665, dy = -6.439999999999998,  s_cnt = 24, l_cnt = 0, r_cnt = 0, direction = straight
dx = -7.5584313725489665, dy = -6.439999999999998,  s_cnt = 25, l_cnt = 0, r_cnt = 0, direction = straight
dx = -7.5584313725489665, dy = -6.439999999999998,  s_cnt = 26, l_cnt = 0, r_cnt = 0, direction = straight
dx = -7.5584313725489665, dy = -6.439999999999998,  s_cnt = 27, l_cnt = 0, r_cnt = 0, direction = straight
dx = -7.5584313725489665, dy = -6.439999999999998,  s_cnt = 28, l_cnt = 0, r_cnt = 0, direction = straight
dx = -7.5584313725489665, dy = -6.439999999999998,  s_cnt = 29, l_cnt = 0, r_cnt = 0, direction = straight
dx = -9.398431372548941, dy = -6.439999999999998,  s_cnt = 30, l_cnt = 0, r_cnt = 0, direction = straight
dx = -9.398431372548941, dy = -6.439999999999998,  s_cnt = 31, l_cnt = 0, r_cnt = 0, direction = straight
dx = -9.398431372548941, dy = -6.439999999999998,  s_cnt = 32, l_cnt = 0, r_cnt = 0, direction = straight
dx = -9.398431372548941, dy = -6.439999999999998,  s_cnt = 33, l_cnt = 0, r_cnt = 0, direction = straight
dx = -9.398431372548941, dy = -6.439999999999998,  s_cnt = 34, l_cnt = 0, r_cnt = 0, direction = straight
dx = -9.398431372548941, dy = -6.439999999999998,  s_cnt = 35, l_cnt = 0, r_cnt = 0, direction = straight
dx = -9.398431372548941, dy = -6.439999999999998,  s_cnt = 36, l_cnt = 0, r_cnt = 0, direction = straight
dx = -9.398431372548941, dy = -6.439999999999998,  s_cnt = 37, l_cnt = 0, r_cnt = 0, direction = straight
dx = -9.398431372548941, dy = -6.439999999999998,  s_cnt = 38, l_cnt = 0, r_cnt = 0, direction = straight
dx = -9.398431372548941, dy = -6.439999999999998,  s_cnt = 39, l_cnt = 0, r_cnt = 0, direction = straight
dx = -9.398431372548941, dy = -6.439999999999998,  s_cnt = 40, l_cnt = 0, r_cnt = 0, direction = straight
dx = -9.398431372548941, dy = -6.439999999999998,  s_cnt = 41, l_cnt = 0, r_cnt = 0, direction = straight
dx = -9.398431372548941, dy = -6.439999999999998,  s_cnt = 42, l_cnt = 0, r_cnt = 0, direction = straight
dx = -9.398431372548941, dy = -6.439999999999998,  s_cnt = 43, l_cnt = 0, r_cnt = 0, direction = straight
dx = -9.398431372548941, dy = -6.439999999999998,  s_cnt = 44, l_cnt = 0, r_cnt = 0, direction = straight
dx = -9.398431372548941, dy = -6.439999999999998,  s_cnt = 45, l_cnt = 0, r_cnt = 0, direction = straight
dx = -9.398431372548941, dy = -4.599999999999966,  s_cnt = 46, l_cnt = 0, r_cnt = 0, direction = straight
dx = -9.398431372548941, dy = -4.599999999999966,  s_cnt = 47, l_cnt = 0, r_cnt = 0, direction = straight
dx = -9.398431372548941, dy = -4.599999999999966,  s_cnt = 48, l_cnt = 0, r_cnt = 0, direction = straight
dx = -9.398431372548941, dy = -4.599999999999966,  s_cnt = 49, l_cnt = 0, r_cnt = 0, direction = straight
dx = -9.398431372548941, dy = -4.599999999999966,  s_cnt = 50, l_cnt = 0, r_cnt = 0, direction = straight
dx = -9.398431372548941, dy = -4.599999999999966,  s_cnt = 51, l_cnt = 0, r_cnt = 0, direction = straight
dx = -9.398431372548941, dy = -4.599999999999966,  s_cnt = 1, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.749803921568457, dy = 0.4870588235293667,  s_cnt = 2, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.749803921568457, dy = 0.4870588235293667,  s_cnt = 3, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.749803921568457, dy = 0.4870588235293667,  s_cnt = 4, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.749803921568457, dy = 0.4870588235293667,  s_cnt = 5, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.749803921568457, dy = 0.4870588235293667,  s_cnt = 6, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.749803921568457, dy = 0.4870588235293667,  s_cnt = 7, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.749803921568457, dy = 0.4870588235293667,  s_cnt = 8, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.749803921568457, dy = 0.4870588235293667,  s_cnt = 9, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.749803921568457, dy = 0.4870588235293667,  s_cnt = 10, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.749803921568457, dy = 0.4870588235293667,  s_cnt = 11, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.749803921568457, dy = 0.4870588235293667,  s_cnt = 12, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.749803921568457, dy = 0.4870588235293667,  s_cnt = 13, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.749803921568457, dy = 0.4870588235293667,  s_cnt = 14, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.749803921568457, dy = 0.4870588235293667,  s_cnt = 15, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.749803921568457, dy = 0.4870588235293667,  s_cnt = 16, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.749803921568457, dy = 0.4870588235293667,  s_cnt = 17, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.749803921568457, dy = 0.4870588235293667,  s_cnt = 18, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.749803921568457, dy = 0.4870588235293667,  s_cnt = 19, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.749803921568457, dy = 0.4870588235293667,  s_cnt = 20, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.749803921568457, dy = 0.4870588235293667,  s_cnt = 21, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.749803921568457, dy = 0.4870588235293667,  s_cnt = 22, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.749803921568457, dy = 0.4870588235293667,  s_cnt = 23, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.749803921568457, dy = 0.4870588235293667,  s_cnt = 24, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.749803921568457, dy = 0.4870588235293667,  s_cnt = 25, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.749803921568457, dy = 0.4870588235293667,  s_cnt = 26, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.749803921568457, dy = 0.4870588235293667,  s_cnt = 27, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.749803921568457, dy = 0.4870588235293667,  s_cnt = 28, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.749803921568457, dy = 0.4870588235293667,  s_cnt = 29, l_cnt = 0, r_cnt = 0, direction = straight
dx = 3.7701960784315247, dy = 18.887058823529344,  s_cnt = 30, l_cnt = 0, r_cnt = 0, direction = straight
dx = 3.7701960784315247, dy = 18.887058823529344,  s_cnt = 31, l_cnt = 0, r_cnt = 0, direction = straight
dx = 3.7701960784315247, dy = 18.887058823529344,  s_cnt = 32, l_cnt = 0, r_cnt = 0, direction = straight
dx = 3.7701960784315247, dy = 18.887058823529344,  s_cnt = 33, l_cnt = 0, r_cnt = 0, direction = straight
dx = 3.7701960784315247, dy = 18.887058823529344,  s_cnt = 34, l_cnt = 0, r_cnt = 0, direction = straight
dx = 3.7701960784315247, dy = 18.887058823529344,  s_cnt = 35, l_cnt = 0, r_cnt = 0, direction = straight
dx = 3.7701960784315247, dy = 18.887058823529344,  s_cnt = 36, l_cnt = 0, r_cnt = 0, direction = straight
dx = 3.7701960784315247, dy = 18.887058823529344,  s_cnt = 37, l_cnt = 0, r_cnt = 0, direction = straight
dx = 1.0101960784315338, dy = 18.887058823529344,  s_cnt = 38, l_cnt = 0, r_cnt = 0, direction = straight
dx = 1.0101960784315338, dy = 18.887058823529344,  s_cnt = 39, l_cnt = 0, r_cnt = 0, direction = straight
dx = 1.0101960784315338, dy = 18.887058823529344,  s_cnt = 40, l_cnt = 0, r_cnt = 0, direction = straight
dx = 1.0101960784315338, dy = 18.887058823529344,  s_cnt = 41, l_cnt = 0, r_cnt = 0, direction = straight
dx = 1.0101960784315338, dy = 18.887058823529344,  s_cnt = 42, l_cnt = 0, r_cnt = 0, direction = straight
dx = 1.0101960784315338, dy = 18.887058823529344,  s_cnt = 43, l_cnt = 0, r_cnt = 0, direction = straight
dx = 1.0101960784315338, dy = 18.887058823529344,  s_cnt = 44, l_cnt = 0, r_cnt = 0, direction = straight
dx = 1.0101960784315338, dy = 18.887058823529344,  s_cnt = 45, l_cnt = 0, r_cnt = 0, direction = straight
dx = 1.0101960784315338, dy = 18.887058823529344,  s_cnt = 46, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.669803921568473, dy = 19.80705882352936,  s_cnt = 47, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.669803921568473, dy = 19.80705882352936,  s_cnt = 48, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.669803921568473, dy = 19.80705882352936,  s_cnt = 49, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.669803921568473, dy = 19.80705882352936,  s_cnt = 50, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.669803921568473, dy = 19.80705882352936,  s_cnt = 51, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.669803921568473, dy = 19.80705882352936,  s_cnt = 1, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.1466666666663627, dy = 10.534901960784111,  s_cnt = 2, l_cnt = 0, r_cnt = 0, direction = straight
